Name,City/Province,Region,Coordinates,Ref
Agadir Hassan II Hospital,Agadir,Souss-Massa,"30°26?17?N9°35?26?W? / ?30.437982203123937°N 9.590433756033558°W? / 30.437982203123937; 
-9.590433756033558? (Agadir Hassan II Hospital)",[13]
Béni Mellal-Khénifra Central Regional Hospital,Beni Mellal,Béni Mellal-Khénifra,"32°34?22?N6°23?53?W? / ?32.572724597024454°N 6.398062599889866°W? / 32.572724597024454; 
-6.398062599889866? (Béni Mellal-Khénifra Central Regional Hospital)",
Ben Sergao- Dcheira Military Hospital,"Agadir, Inezgane",Souss-Massa,"30°23?20?N9°33?05?W? / ?30.38884104396505°N 9.551511294189035°W? / 30.38884104396505; 
-9.551511294189035? (Ben Sergao- Dcheira Military Hospital)",[13]
Benslimane Provincial Hospital,"Benslimane, Benslimane Province",Casablanca-Settat,"33°40?25?N7°07?58?W? / ?33.673488745071744°N 7.132910951457474°W? / 33.673488745071744; 
-7.132910951457474? (Benslimane)",
Cheikh Khalifa Bin Zayed Al Nahyan Hospital (CHU),Oujda,Oriental,"33°33?09?N7°40?04?W? / ?33.55261347542982°N 7.66783561836534°W? / 33.55261347542982; 
-7.66783561836534? (Cheikh Khalifa Bin Zayed Al Nahyan Hospital)",[14]
Hassan II Hospital (CHU),Fes,Fès-Meknès,"31°40?11?N7°59?48?W? / ?31.66976814143106°N 7.996794145555486°W? / 31.66976814143106; 
-7.996794145555486? (Hassan II Hospital)",[15]
Ibn Nafis Hospital,Marrakesh,Marrakesh-Safi,"31°39?45?N7°59?47?W? / ?31.662437751562813°N 7.996411604940558°W? / 31.662437751562813; 
-7.996411604940558? (Ibn Nafis Hospital)",[16]
Ibn-Rochd Hospital (CHU),Casablanca,Casablanca-Settat,"33°34?53?N7°37?11?W? / ?33.5814903740638°N 7.619776832345588°W? / 33.5814903740638; 
-7.619776832345588? (Ibn-Rochd Hospital)",[17][13]
Ibn Sina Hospital,Rabat,Rabat-Salé-Kénitra,"33°59?31?N6°51?02?W? / ?33.99184677567052°N 6.850571484523994°W? / 33.99184677567052; 
-6.850571484523994? (Ibn Sina Hospital Rabat)",
Ibn Sina Military Hospital,Marrakesh,Marrakesh-Safi,"31°38?11?N8°01?17?W? / ?31.63635760307791°N 8.021252401896147°W? / 31.63635760307791; 
-8.021252401896147? (Ibn Sina Military Hospital)",[13]
Ibn Tofail University Hospital,Marrakesh,Marrakesh-Safi,"31°38?32?N8°00?57?W? / ?31.642097993541228°N 8.015807347763289°W? / 31.642097993541228; 
-8.015807347763289? (Ibn Tofail University Hospital)",[16]
Khénifra Grand Hospital,"Khénifra, Khénifra Province",Béni Mellal-Khénifra,"33°00?46?N5°38?49?W? / ?33.012685671921346°N 5.647010073356986°W? / 33.012685671921346; 
-5.647010073356986? (Khénifra)",
Lala Khadija Hospital,"Tamallalt, El Kelâa des Sraghna Province",Marrakesh-Safi,"32°03?43?N7°34?25?W? / ?32.0620779152004°N 7.573599739705045°W? / 32.0620779152004; 
-7.573599739705045? (Lala Khadija Hospital)",
Mohammed V Hospital,Meknès,Fès-Meknès,"35°47?01?N5°49?34?W? / ?35.783669197628974°N 5.826141261275841°W? / 35.783669197628974; 
-5.826141261275841? (Mohammed V Hospital)",
Mohammad V Hospital Safi,"Safi, Safi Province",Marrakesh-Safi,"32°25?22?N9°15?11?W? / ?32.42266361297888°N 9.253123844087371°W? / 32.42266361297888; 
-9.253123844087371? (Mohammad V Hospital Safi)",
Mohammad V Hospital (CHU),Rabat,Rabat-Salé-Kénitra,"33°35?35?N7°33?12?W? / ?33.59311152717211°N 7.553295352462275°W? / 33.59311152717211; 
-7.553295352462275? (Mohammed V Hospital)",[18]
Mohammed V Military Training Hospital,Rabat,Rabat-Salé-Kénitra,"33°58?22?N6°52?17?W? / ?33.972682729544076°N 6.871470662064285°W? / 33.972682729544076; 
-6.871470662064285? (Mohammed V Military Training Hospital)",[13]
Mohammed VI Hospital (CHU) Marrakesh,Marrakesh,Marrakesh-Safi,"35°45?25?N5°49?45?W? / ?35.756927368087965°N 5.82923116594475°W? / 35.756927368087965; 
-5.82923116594475? (Mohammed VI Hospital Marrakesh)",[19]
Moulay Abdellah Hospital,Mohammedia,Casablanca-Settat,"33°44?56?N7°22?58?W? / ?33.74888491061149°N 7.382849912093318°W? / 33.74888491061149; 
-7.382849912093318? (Moulay Abdellah Hospital)",
Moulay Ismail Military Hospital,Meknes,Fès-Meknès,"33°53?20?N5°31?24?W? / ?33.888993855031764°N 5.523389518353267°W? / 33.888993855031764; 
-5.523389518353267? (Moulay Ismail Military Hospital)",[13]
Moulay Jousseph Hospital,Rabat,Rabat-Salé-Kénitra,"34°00?44?N6°51?43?W? / ?34.01215748781727°N 6.861901355739361°W? / 34.01215748781727; 
-6.861901355739361? (Moulay Jousseph Hospital)",[13]
Noor Rehabilitation and Rehabilitation Hospital Center,Bouskoura,Casablanca-Settat,"33°28?41?N7°38?21?W? / ?33.47798205460943°N 7.639056131858797°W? / 33.47798205460943; 
-7.639056131858797? (Noor Rehabilitation and Rehabilitation Hospital Center)",
Sheikh Khalifa Ben Zayed Al-Nahyane Hospital,Casablanca,Casablanca-Settat,"33°33?09?N7°40?04?W? / ?33.55256876950521°N 7.667803432346762°W? / 33.55256876950521; 
-7.667803432346762? (Sheikh Khalifa Ben Zayed Al-Nahyane Hospital)",largest hospital with 205 beds[20][13]
Sidi Mohamed Ben Abdellah Hospital,Essaouira,Marrakesh-Safi,"31°30?52?N9°45?51?W? / ?31.514554088250538°N 9.764276305771238°W? / 31.514554088250538; 
-9.764276305771238? (Sidi Mohamed Ben Abdellah Hospital)",[13]
Sidi Hssain Benaceur Hospital,"Ouarzazate, Ouarzazate Province",Drâa-Tafilalet,"30°55?32?N6°55?02?W? / ?30.925551364133867°N 6.917321903110498°W? / 30.925551364133867; 
-6.917321903110498? (Sidi Hssain Benaceur Hospita)",[13]
Timahdite Hospital,"Timahdite, Ifrane Province",Fès-Meknès,"33°31?13?N5°06?31?W? / ?33.5202082263248°N 5.108679974192452°W? / 33.5202082263248; 
-5.108679974192452? (Timahdte Hospital)",
Toundoute Hospital,"Toundoute, Ouarzazate Province",Drâa-Tafilalet,"31°31?14?N6°41?41?W? / ?31.520472768249963°N 6.694693451028117°W? / 31.520472768249963; 
-6.694693451028117? (Toundoute Hospital)",
